"Former President Nelson Mandela Qunu Village residence.- N2, Qunu";-318.059.389;286.064.139
Union Buildings Presidency - Pretoria;-257.452.083;282.119.917
SABC Building Auckland Park;-26.185.997.307.619.900;28.010.560.410.206.400
Former Pres Res NR Mandela GP;-26.229.496.141.395.800;2.791.048.549.072.340
"Former, Pres Res T Mbeki GP";-26.148.204.446.077.600;28.049.846.841.209.400
Gauteng Provincial Legislature;-26.204.332.957.746.600;28.041.198.540.937.000
"SA National Space Agency (SANSA) - Mark Shuttleworth Street, Pretoria";-257.492.167;282.678.056
President of South Africa Residence - KZN - Nkandla.?(KwaZulu-Natal);-2.862.225.445.425.690;31.087.943.491.277.800
Cape Town International Airport;-339.716.667;186.038.889
"Western Cape Provincial Legislature - 7 Wale Street, Cape Town";-339.241.556;184.182.750
